Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Abs.450,DNA.ng
Sperm,Sperm,0,A. retusa,5fC,27,Rep1,0.281,294
Sperm,Sperm,0,A. retusa,5fC,27,Rep2,0.309,311
Sperm,Sperm,0,A. retusa,5fC,27,Rep3,0.253,286
Oocytes,Oocytes,0,A. retusa,5fC,27,Rep1,0.287,152
Oocytes,Oocytes,0,A. retusa,5fC,27,Rep2,0.324,238
Oocytes,Oocytes,0,A. retusa,5fC,27,Rep3,0.294,300
Stage 1 ,Fertilized oocyte,1,A. retusa,5fC,27,Rep1,0.275,192
Stage 1 ,Fertilized oocyte,1,A. retusa,5fC,27,Rep2,0.311,192
Stage 1 ,Fertilized oocyte,1,A. retusa,5fC,27,Rep3,0.292,136
Stage 2,2 cells,2,A. retusa,5fC,27,Rep1,0.263,232
Stage 2,2 cells,2,A. retusa,5fC,27,Rep2,0.298,264
Stage 2,2 cells,2,A. retusa,5fC,27,Rep3,0.34,160
Stage 3,8 cells,3,A. retusa,5fC,27,Rep1,0.295,136
Stage 3,8 cells,3,A. retusa,5fC,27,Rep2,0.279,128
Stage 3,8 cells,3,A. retusa,5fC,27,Rep3,0.287,96
Stage 4,Morula,5,A. retusa,5fC,27,Rep1,0.274,120
Stage 4,Morula,5,A. retusa,5fC,27,Rep2,0.277,80
Stage 4,Morula,5,A. retusa,5fC,27,Rep3,0.271,160
Stage 5,Prawn Chip,6,A. retusa,5fC,27,Rep1,0.253,96
Stage 5,Prawn Chip,6,A. retusa,5fC,27,Rep2,0.275,120
Stage 5,Prawn Chip,6,A. retusa,5fC,27,Rep3,0.264,80
Stage 6,Blastula,8,A. retusa,5fC,27,Rep1,0.278,88
Stage 6,Blastula,8,A. retusa,5fC,27,Rep2,0.328,128
Stage 6,Blastula,8,A. retusa,5fC,27,Rep3,0.311,80
Stage 7,Late Blastula,9,A. retusa,5fC,27,Rep1,0.273,400
Stage 7,Late Blastula,9,A. retusa,5fC,27,Rep2,0.292,504
Stage 7,Late Blastula,9,A. retusa,5fC,27,Rep3,0.276,240
Stage 8,Early Bowl,12.5,A. retusa,5fC,27,Rep1,0.269,244
Stage 8,Early Bowl,12.5,A. retusa,5fC,27,Rep2,0.256,224
Stage 8,Early Bowl,12.5,A. retusa,5fC,27,Rep3,0.25,205
Stage 9,Bowl,12.5,A. retusa,5fC,27,Rep1,0.275,136
Stage 9,Bowl,12.5,A. retusa,5fC,27,Rep2,0.295,152
Stage 9,Bowl,12.5,A. retusa,5fC,27,Rep3,0.285,200
Stage 10,Blastulation end,17.5,A. retusa,5fC,27,Rep1,0.275,216
Stage 10,Blastulation end,17.5,A. retusa,5fC,27,Rep2,0.3,200
Stage 10,Blastulation end,17.5,A. retusa,5fC,27,Rep3,0.281,228
Stage 11,Gastrula,20,A. retusa,5fC,27,Rep1,0.275,200
Stage 11,Gastrula,20,A. retusa,5fC,27,Rep2,0.306,210
Stage 11,Gastrula,20,A. retusa,5fC,27,Rep3,0.261,215
Stage 12,Round stage,36,A. retusa,5fC,27,Rep1,0.322,198
Stage 12,Round stage,36,A. retusa,5fC,27,Rep2,0.284,110
Stage 12,Round stage,36,A. retusa,5fC,27,Rep3,0.275,204
Stage 13,Early tear drop,54,A. retusa,5fC,27,Rep1,0.298,196
Stage 13,Early tear drop,54,A. retusa,5fC,27,Rep2,0.279,196
Stage 13,Early tear drop,54,A. retusa,5fC,27,Rep3,0.284,168
Stage 14,Tear drop,86,A. retusa,5fC,27,Rep1,0.286,128
Stage 14,Tear drop,86,A. retusa,5fC,27,Rep2,0.292,176
Stage 14,Tear drop,86,A. retusa,5fC,27,Rep3,0.303,208
Stage 15,Late tear drop,98,A. retusa,5fC,27,Rep1,0.302,160
Stage 15,Late tear drop,98,A. retusa,5fC,27,Rep2,0.29,104
Stage 15,Late tear drop,98,A. retusa,5fC,27,Rep3,0.296,112
Stage 16,Early elongated,170,A. retusa,5fC,27,Rep1,0.37,270
Stage 16,Early elongated,170,A. retusa,5fC,27,Rep2,0.262,100
Stage 16,Early elongated,170,A. retusa,5fC,27,Rep3,0.316,249
NG,Standard,Standard,Standard,5fC,NA,Rep1,0.245,NA
NG,Standard,Standard,Standard,5fC,NA,Rep2,0.247,NA
NG,Standard,Standard,Standard,5fC,NA,Rep3,0.247,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep1,0.455,NA
