Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Fluoro.530.590,DNA.ng
Sperm,Sperm,0,A. retusa,5hmC,27,Rep1,26,116
Sperm,Sperm,0,A. retusa,5hmC,27,Rep2,18,124
Sperm,Sperm,0,A. retusa,5hmC,27,Rep3,35,143
Sperm,Sperm,0,A. retusa,5hmC,27,Rep4,28,143
Oocytes,Oocytes,0,A. retusa,5hmC,27,Rep1,13,76
Oocytes,Oocytes,0,A. retusa,5hmC,27,Rep2,28,102
Oocytes,Oocytes,0,A. retusa,5hmC,27,Rep3,14,100
Oocytes,Oocytes,0,A. retusa,5hmC,27,Rep4,13,100
Stage 1 ,Fertilized oocyte,,A. retusa,5hmC,27,Rep1,23,96
Stage 1 ,Fertilized oocyte,,A. retusa,5hmC,27,Rep2,15,96
Stage 1 ,Fertilized oocyte,,A. retusa,5hmC,27,Rep3,23,96
Stage 1 ,Fertilized oocyte,,A. retusa,5hmC,27,Rep4,24,68
Stage 2,4 cells,,A. retusa,5hmC,27,Rep1,21,116
Stage 2,4 cells,,A. retusa,5hmC,27,Rep2,29,132
Stage 2,4 cells,,A. retusa,5hmC,27,Rep3,18,132
Stage 2,4 cells,,A. retusa,5hmC,27,Rep4,19,80
Stage 3,8 cells,,A. retusa,5hmC,27,Rep1,21,68
Stage 3,8 cells,,A. retusa,5hmC,27,Rep2,22,64
Stage 3,8 cells,,A. retusa,5hmC,27,Rep3,26,40
Stage 3,8 cells,,A. retusa,5hmC,27,Rep4,27,68
Stage 4,Morula,,A. retusa,5hmC,27,Rep1,18,60
Stage 4,Morula,,A. retusa,5hmC,27,Rep2,16,40
Stage 4,Morula,,A. retusa,5hmC,27,Rep3,13,80
Stage 4,Morula,,A. retusa,5hmC,27,Rep4,17,80
Stage 5,Prawn Chip,,A. retusa,5hmC,27,Rep1,19,48
Stage 5,Prawn Chip,,A. retusa,5hmC,27,Rep2,16,60
Stage 5,Prawn Chip,,A. retusa,5hmC,27,Rep3,25,60
Stage 5,Prawn Chip,,A. retusa,5hmC,27,Rep4,NA,NA
Stage 5.5,Late Prawn Chip,,A. retusa,5hmC,27,Rep1,30,28
Stage 5.5,Late Prawn Chip,,A. retusa,5hmC,27,Rep2,14,28
Stage 5.5,Late Prawn Chip,,A. retusa,5hmC,27,Rep3,15,56
Stage 5.5,Late Prawn Chip,,A. retusa,5hmC,27,Rep4,NA,NA
Stage 6,Blastula,,A. retusa,5hmC,27,Rep1,25,44
Stage 6,Blastula,,A. retusa,5hmC,27,Rep2,40,64
Stage 6,Blastula,,A. retusa,5hmC,27,Rep3,31,64
Stage 6,Blastula,,A. retusa,5hmC,27,Rep4,110,40
