Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Fluoro.530.590,DNA.ng
Sperm,Sperm,0,A. retusa,5mC,27,Rep1,153,116
Sperm,Sperm,0,A. retusa,5mC,27,Rep2,163,124
Sperm,Sperm,0,A. retusa,5mC,27,Rep3,321,143
Sperm,Sperm,0,A. retusa,5mC,27,Rep4,359,143
Oocytes,Oocytes,0,A. retusa,5mC,27,Rep1,273,76
Oocytes,Oocytes,0,A. retusa,5mC,27,Rep2,250,102
Oocytes,Oocytes,0,A. retusa,5mC,27,Rep3,484,100
Oocytes,Oocytes,0,A. retusa,5mC,27,Rep4,616,100
Stage 1 ,Fertilized oocyte,,A. retusa,5mC,27,Rep1,439,96
Stage 1 ,Fertilized oocyte,,A. retusa,5mC,27,Rep2,422,96
Stage 1 ,Fertilized oocyte,,A. retusa,5mC,27,Rep3,297,96
Stage 1 ,Fertilized oocyte,,A. retusa,5mC,27,Rep4,322,68
Stage 2,4 cells,,A. retusa,5mC,27,Rep1,310,116
Stage 2,4 cells,,A. retusa,5mC,27,Rep2,317,132
Stage 2,4 cells,,A. retusa,5mC,27,Rep3,215,132
Stage 2,4 cells,,A. retusa,5mC,27,Rep4,479,80
Stage 3,8 cells,,A. retusa,5mC,27,Rep1,294,68
Stage 3,8 cells,,A. retusa,5mC,27,Rep2,227,64
Stage 3,8 cells,,A. retusa,5mC,27,Rep3,222,40
Stage 3,8 cells,,A. retusa,5mC,27,Rep4,437,68
Stage 4,Morula,,A. retusa,5mC,27,Rep1,929,60
Stage 4,Morula,,A. retusa,5mC,27,Rep2,280,40
Stage 4,Morula,,A. retusa,5mC,27,Rep3,347,80
Stage 4,Morula,,A. retusa,5mC,27,Rep4,335,80
Stage 5,Prawn Chip,,A. retusa,5mC,27,Rep1,159,48
Stage 5,Prawn Chip,,A. retusa,5mC,27,Rep2,229,60
Stage 5,Prawn Chip,,A. retusa,5mC,27,Rep3,203,60
Stage 5,Prawn Chip,,A. retusa,5mC,27,Rep4,360,40
Stage 5.5,Late Prawn Chip,,A. retusa,5mC,27,Rep1,116,28
Stage 5.5,Late Prawn Chip,,A. retusa,5mC,27,Rep2,96,28
Stage 5.5,Late Prawn Chip,,A. retusa,5mC,27,Rep3,1055,56
Stage 5.5,Late Prawn Chip,,A. retusa,5mC,27,Rep4,186,56
Stage 6,Blastula,,A. retusa,5mC,27,Rep1,283,44
Stage 6,Blastula,,A. retusa,5mC,27,Rep2,121,64
Stage 6,Blastula,,A. retusa,5mC,27,Rep3,99,64
Stage 6,Blastula,,A. retusa,5mC,27,Rep4,210,40
Stage 7,Late Blastula,,A. retusa,5mC,27,Rep1,665,100
Stage 7,Late Blastula,,A. retusa,5mC,27,Rep2,873,126
Stage 7,Late Blastula,,A. retusa,5mC,27,Rep3,546,126
Stage 7,Late Blastula,,A. retusa,5mC,27,Rep4,1130,120
Stage 7.5,Later Blastula,,A. retusa,5mC,27,Rep1,564,112
Stage 7.5,Later Blastula,,A. retusa,5mC,27,Rep2,1271,132
Stage 7.5,Later Blastula,,A. retusa,5mC,27,Rep3,861,80
Stage 7.5,Later Blastula,,A. retusa,5mC,27,Rep4,NA,NA
Stage 8,Early Bowl,,A. retusa,5mC,27,Rep1,821,122
Stage 8,Early Bowl,,A. retusa,5mC,27,Rep2,687,112
Stage 8,Early Bowl,,A. retusa,5mC,27,Rep3,786,123
Stage 8,Early Bowl,,A. retusa,5mC,27,Rep4,1252,123
Stage 9,Bowl,,A. retusa,5mC,27,Rep1,812,68
Stage 9,Bowl,,A. retusa,5mC,27,Rep2,60,76
Stage 9,Bowl,,A. retusa,5mC,27,Rep3,1074,100
Stage 9,Bowl,,A. retusa,5mC,27,Rep4,599,100
Stage 10,Blastulation end,,A. retusa,5mC,27,Rep1,927,108
Stage 10,Blastulation end,,A. retusa,5mC,27,Rep2,605,100
Stage 10,Blastulation end,,A. retusa,5mC,27,Rep3,562,114
Stage 10,Blastulation end,,A. retusa,5mC,27,Rep4,NA,NA
Stage 11,Gastrula,,A. retusa,5mC,27,Rep1,733,100
Stage 11,Gastrula,,A. retusa,5mC,27,Rep2,997,126
Stage 11,Gastrula,,A. retusa,5mC,27,Rep3,1259,129
Stage 11,Gastrula,,A. retusa,5mC,27,Rep4,1186,129
Stage 12,Round stage,,A. retusa,5mC,27,Rep1,1307,99
Stage 12,Round stage,,A. retusa,5mC,27,Rep2,93,80
Stage 12,Round stage,,A. retusa,5mC,27,Rep3,1096,106
Stage 12,Round stage,,A. retusa,5mC,27,Rep4,1092,16
Stage 13,Early tear drop,,A. retusa,5mC,27,Rep1,743,122
Stage 13,Early tear drop,,A. retusa,5mC,27,Rep2,861,122
Stage 13,Early tear drop,,A. retusa,5mC,27,Rep3,590,96
Stage 13,Early tear drop,,A. retusa,5mC,27,Rep4,884,84
Stage 14,Tear drop,,A. retusa,5mC,27,Rep1,359,64
Stage 14,Tear drop,,A. retusa,5mC,27,Rep2,408,88
Stage 14,Tear drop,,A. retusa,5mC,27,Rep3,899,104
Stage 14,Tear drop,,A. retusa,5mC,27,Rep4,611,104
Stage 15,Late tear drop,,A. retusa,5mC,27,Rep1,816,80
Stage 15,Late tear drop,,A. retusa,5mC,27,Rep2,563,52
Stage 15,Late tear drop,,A. retusa,5mC,27,Rep3,808,52
Stage 15,Late tear drop,,A. retusa,5mC,27,Rep4,885,56
Stage 16,Early elongated,,A. retusa,5mC,27,Rep1,791,102
Stage 16,Early elongated,,A. retusa,5mC,27,Rep2,1008,170
Stage 16,Early elongated,,A. retusa,5mC,27,Rep3,974,100
Stage 16,Early elongated,,A. retusa,5mC,27,Rep4,859,166
MF3.RFU,Standard,Standard,Standard,5mC,NA,Rep1,11,NA
MF3.RFU,Standard,Standard,Standard,5mC,NA,Rep2,9,NA
MF3.RFU,Standard,Standard,Standard,5mC,NA,Rep3,12,NA
Std0.5,Standard,Standard,Standard,5mC,NA,Rep1,506,NA
Std0.5,Standard,Standard,Standard,5mC,NA,Rep2,465,NA
Std0.5,Standard,Standard,Standard,5mC,NA,Rep3,551,NA
Std1,Standard,Standard,Standard,5mC,NA,Rep1,1324,NA
Std1,Standard,Standard,Standard,5mC,NA,Rep2,1141,NA
Std1,Standard,Standard,Standard,5mC,NA,Rep3,1436,NA
Std2,Standard,Standard,Standard,5mC,NA,Rep1,1179,NA
Std2,Standard,Standard,Standard,5mC,NA,Rep2,1259,NA
Std2,Standard,Standard,Standard,5mC,NA,Rep3,1484,NA
Std5,Standard,Standard,Standard,5mC,NA,Rep1,1530,NA
Std5,Standard,Standard,Standard,5mC,NA,Rep2,1557,NA
Std5,Standard,Standard,Standard,5mC,NA,Rep3,1559,NA
MF4.RFU,Standard,Standard,Standard,5mC,NA,Rep1,1670,NA
MF4.RFU,Standard,Standard,Standard,5mC,NA,Rep2,1720,NA
MF4.RFU,Standard,Standard,Standard,5mC,NA,Rep3,1741,NA
